"country","barrelsPerDay","pop2022"
"United States","19690000","338289.8570"
"China","11750000","1425887.3370"
"India","4489000","1417173.1730"
"Japan","4026000","123951.6920"
"Russia","3594000","144713.3140"
"Saudi Arabia","3237000","36408.8200"
"Brazil","3018000","215313.4980"
"South Korea","2630000","51815.8100"
"Germany","2410000","83369.8430"
"Canada","2379000","38454.3270"
"Mexico","2027000","127504.1250"
"Iran","1922000","88550.5700"
"France","1661000","64626.6280"
"Indonesia","1615000","275501.3390"
"United Kingdom","1586000","67508.9360"
"Singapore","1582000","5975.6890"
"Spain","1287000","47558.6300"
"Thailand","1272000","71697.0300"
"Italy","1253000","59037.4740"
"Australia","1100000","26177.4130"
"Netherlands","973000","17564.0140"
"Taiwan","955300","23893.3940"
"Turkey","943700","85341.2410"
"United Arab Emirates","901000","9441.1290"
"Iraq","850000","44496.1220"
"Argentina","803000","45510.3180"
"Egypt","802000","110990.1030"
"Malaysia","760000","33938.2210"
"Venezuela","747000","28301.6960"
"Belgium","662400","11655.9300"
"South Africa","660000","59893.8850"
"Poland","578200","39857.1450"
"Pakistan","517000","235824.8620"
"Kuwait","500000","4268.8730"
"Philippines","455500","115559.0090"
"Algeria","428000","44903.2250"
"Vietnam","422000","98186.8560"
"Hong Kong","388500","7488.8650"
"Colombia","345000","51874.0240"
"Chile","337400","19603.7330"
"Sweden","320200","10549.3470"
"Nigeria","316000","218541.2120"
"Greece","299600","10384.9710"
"Morocco","286000","37457.9710"
"Qatar","280000","2695.1220"
"Ecuador","274000","18001"
"Austria","267500","8939.6170"
"Libya","262000","6812.3410"
"Ukraine","248000","39701.7390"
"Peru","240000","34049.5880"
"Portugal","234700","10270.8650"
"Norway","227700","5434.3190"
"Switzerland","217400","8740.4720"
"Finland","200700","5540.7450"
"Israel","199900","9038.3090"
"Kazakhstan","186300","19397.9980"
"Romania","182000","19659.2670"
"Czech Republic","180400","10493.9860"
"Cuba","180000","11212.1910"
"Oman","176000","4576.2980"
"Belarus","172000","9534.9540"
"New Zealand","167700","5185.2880"
"Jordan","160000","11285.8690"
"Denmark","158200","5882.2610"
"Turkmenistan","158000","6430.7700"
"Hungary","157200","9967.3080"
"Puerto Rico","155000","3252.4070"
"Ireland","151700","5023.1090"
"Panama","144000","4408.5810"
"Lebanon","143000","5489.7390"
"Angola","142000","35588.9870"
"Yemen","140000","33696.6140"
"Syria","140000","22125.2490"
"United States Virgin Islands","132000","99.4650"
"Afghanistan","130000","41128.7710"
"Dominican Republic","114000","11228.8210"
"Sudan","110000","46874.2040"
"Bangladesh","107000","171186.3720"
"Sri Lanka","107000","21832.1430"
"Azerbaijan","101000","10358.0740"
"Tunisia","98000","12356.1170"
"Guatemala","94770","17843.9080"
"Kenya","93000","54027.4870"
"Bulgaria","89000","6781.9530"
"Bolivia","85580","12224.1100"
"Slovakia","84290","5643.4530"
"Gibraltar","70000","32.6490"
"Serbia","66230","7221.3650"
"Ethiopia","65000","123379.9240"
"Ghana","64320","33475.8700"
"Croatia","63850","4030.3580"
"Uzbekistan","61000","34627.6520"
"Tanzania","60000","65497.7480"
"Bahrain","58000","1472.2330"
"Jamaica","57600","2827.3770"
"Luxembourg","56120","647.5990"
"Costa Rica","54000","5180.8290"
"Uruguay","54000","3422.7940"
"Lithuania","53000","2750.0550"
"Slovenia","52300","2119.8440"
"Honduras","52000","10432.8600"
"Trinidad and Tobago","46000","1531.0440"
"Cyprus","46000","1251.4880"
"Senegal","44000","17316.4490"
"Benin","44000","13352.8640"
"Ivory Coast","43000","28160.5420"
"Cameroon","42000","27914.5360"
"Papua New Guinea","42000","10142.6190"
"Malta","42000","533.2860"
"Cambodia","39000","16767.8420"
"Paraguay","38000","6780.7440"
"Latvia","37680","1850.6510"
"El Salvador","36230","6336.3920"
"Kyrgyzstan","33000","6630.6230"
"Nepal","32000","30547.5800"
"Bosnia and Herzegovina","31000","3233.5260"
"DR Congo","30000","99010.2120"
"Nicaragua","30000","6948.3920"
"Estonia","29140","1326.0620"
"Zimbabwe","29000","16320.5370"
"Uganda","27000","47249.5850"
"Albania","27000","2842.3210"
"Mongolia","26000","3398.3660"
"Mauritius","26000","1299.4690"
"Namibia","25000","2567.0120"
"Bahamas","24000","409.9840"
"Mozambique","23000","32969.5180"
"Zambia","23000","20017.6750"
"Tajikistan","23000","9952.7870"
"Georgia","23000","3744.3850"
"Botswana","23000","2630.2960"
"Burkina Faso","22000","22673.7620"
"Gabon","22000","2388.9920"
"Moldova","21720","3272.9960"
"Iceland","19800","372.8990"
"Haiti","19000","11584.9960"
"North Korea","18000","26069.4160"
"Republic of the Congo","18000","5970.4240"
"Brunei","18000","449.0020"
"New Caledonia","17000","289.9500"
"Guinea","16000","13859.3410"
"Mauritania","16000","4736.1390"
"Fiji","16000","929.7660"
"Guam","15400","171.7740"
"Madagascar","15000","29611.7140"
